Number of runs: 200
Individual solver timeout after: 60s
Overall real runtime: 6183.240s
Overall CPU runtime: 6180.191s
Crashes: 4
Solved but misclassified instances: 0
Undecided instances: 95
Solved and correctly classified instances: 101

Crashed instances:
path = inputs/easy100/ROB004-1.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.006, cpuRuntime = 59.979
path = inputs/easy100/COL001-1.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.009, cpuRuntime = 59.995
path = inputs/easy100/SWV002-1.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.057, cpuRuntime = 59.987
path = inputs/easy100/LAT002-1.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.023, cpuRuntime = 59.991
path = inputs/easy100/CAT001-4.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.050, cpuRuntime = 60.039
path = inputs/easy100/HWV001-1.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.009, cpuRuntime = 59.988
path = inputs/easy100/HWV003-2.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.009, cpuRuntime = 59.994
path = inputs/easy100/GEO001-3.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.066, cpuRuntime = 60.037
path = inputs/easy100/KLE044-10.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.006, cpuRuntime = 59.990
path = inputs/easy100/ANA002-3.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.056, cpuRuntime = 60.039
