Number of runs: 73
Individual solver timeout after: 60s
Overall real runtime: 4322.005s
Overall CPU runtime: 4320.687s
Crashes: 0
Solved but misclassified instances: 0
Undecided instances: 72
Solved and correctly classified instances: 1

Undecided instances (out of time or other constrained resources):
path = inputs/CASC17/HNE/LCL368-1.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.025, cpuRuntime = 60.015
path = inputs/CASC17/HNE/PLA005-2.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.013, cpuRuntime = 59.998
path = inputs/CASC17/HNE/PLA012-1.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.014, cpuRuntime = 60.001
path = inputs/CASC17/HNE/LCL123-1.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.023, cpuRuntime = 60.005
path = inputs/CASC17/HNE/PLA011-2.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.013, cpuRuntime = 59.986
path = inputs/CASC17/NEQ/GEO012-1.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.014, cpuRuntime = 60.011
path = inputs/CASC17/NEQ/GEO060-2.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.008, cpuRuntime = 59.990
path = inputs/CASC17/NEQ/GEO066-2.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.011, cpuRuntime = 59.992
path = inputs/CASC17/NEQ/GEO010-2.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.010, cpuRuntime = 59.998
path = inputs/CASC17/NEQ/GEO002-2.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.011, cpuRuntime = 60.002
